2024-03-11 15:16:41 INFO  Keywords:94 - Navigate is called
2024-03-11 15:16:44 INFO  Keywords:122 - InputText is called
2024-03-11 15:16:44 INFO  Keywords:288 - Waiting for webElement...gateway.username
2024-03-11 15:16:44 INFO  Keywords:291 - Element found...gateway.username
2024-03-11 15:16:45 INFO  Keywords:122 - InputText is called
2024-03-11 15:16:45 INFO  Keywords:288 - Waiting for webElement...gateway.password
2024-03-11 15:16:45 INFO  Keywords:291 - Element found...gateway.password
2024-03-11 15:16:45 INFO  Keywords:135 - ClickOnLink is called
2024-03-11 15:16:45 INFO  Keywords:288 - Waiting for webElement...gateway.login
2024-03-11 15:16:45 INFO  Keywords:291 - Element found...gateway.login
2024-03-11 15:17:24 INFO  Keywords:135 - ClickOnLink is called
2024-03-11 15:17:24 INFO  Keywords:288 - Waiting for webElement...postsamldata
2024-03-11 15:17:24 INFO  Keywords:291 - Element found...postsamldata
2024-03-11 15:17:41 INFO  Keywords:135 - ClickOnLink is called
2024-03-11 15:17:41 INFO  Keywords:288 - Waiting for webElement...next
2024-03-11 15:17:41 INFO  Keywords:291 - Element found...next
2024-03-11 15:18:03 INFO  Keywords:288 - Waiting for webElement...policyConfiguration.DeathBenefit
2024-03-11 15:18:03 INFO  Keywords:291 - Element found...policyConfiguration.DeathBenefit
2024-03-11 15:18:03 INFO  Keywords:288 - Waiting for webElement...policyConfiguration.LTCOption
2024-03-11 15:18:03 INFO  Keywords:291 - Element found...policyConfiguration.LTCOption
2024-03-11 15:18:04 INFO  Keywords:288 - Waiting for webElement...policyConfiguration.MonthPercentage
2024-03-11 15:18:04 INFO  Keywords:291 - Element found...policyConfiguration.MonthPercentage
2024-03-11 15:18:04 INFO  Keywords:122 - InputText is called
2024-03-11 15:18:04 INFO  Keywords:288 - Waiting for webElement...policyConfiguration.ABPercentage
2024-03-11 15:18:04 INFO  Keywords:291 - Element found...policyConfiguration.ABPercentage
2024-03-11 15:18:04 INFO  Keywords:288 - Waiting for webElement...policyConfiguration.payors
2024-03-11 15:18:04 INFO  Keywords:291 - Element found...policyConfiguration.payors
2024-03-11 15:18:04 INFO  Keywords:288 - Waiting for webElement...policyConfiguration.purposeofpolicy
2024-03-11 15:18:04 INFO  Keywords:291 - Element found...policyConfiguration.purposeofpolicy
2024-03-11 15:18:05 INFO  Keywords:135 - ClickOnLink is called
2024-03-11 15:18:05 INFO  Keywords:288 - Waiting for webElement...next
2024-03-11 15:18:18 INFO  Keywords:291 - Element found...next
